date,open,high,low,close,adj_close,volume
2021-01-01,1124.3070651656897,1131.099899318258,1122.4301136257254,1126.586181640625,1126.586181640625,4253550
2021-01-04,1134.2283680888256,1152.998104676584,1127.212083614141,1151.4339599609375,1151.4339599609375,7208454
2021-01-05,1145.8478046120272,1161.0423542831695,1139.635958830082,1156.3946533203125,1156.3946533203125,8145280
2021-01-06,1161.9361222161783,1163.723716250357,1133.3793511626056,1145.9371337890625,1145.9371337890625,7161715
2021-01-07,1158.3608397013677,1159.8356264805352,1122.1620634607,1128.1058349609375,1128.1058349609375,10954918
2021-01-08,1142.4959711027998,1176.95188776382,1142.4959711027998,1172.7509765625,1172.7509765625,13186251
2021-01-11,1199.5647613447566,1236.4338823533224,1197.687809732806,1230.043212890625,1230.043212890625,20528626
2021-01-12,1231.6521486866684,1231.6521486866684,1215.5638042190633,1226.06591796875,1226.06591796875,8309868
2021-01-13,1227.9431432182107,1244.88066399176,1215.5640750108264,1239.8306884765625,1239.8306884765625,14442997
2021-01-14,1215.5638624133528,1237.014989397118,1178.42655518028,1224.94873046875,1224.94873046875,27521697
2021-01-15,1215.5638705625336,1219.5412234083415,1197.6879312895553,1202.1121826171875,1202.1121826171875,15018441
2021-01-18,1195.9002853842937,1197.6878792338966,1167.2987837906485,1172.706298828125,1172.706298828125,8861765
2021-01-19,1179.8120692968857,1189.6438365410263,1172.6616931193287,1176.81787109375,1176.81787109375,5585744
2021-01-20,1180.3036138790897,1205.1958372822824,1180.3036138790897,1197.1962890625,1197.1962890625,8225838
2021-01-21,1206.6258295578734,1216.5023290644597,1193.2188758961195,1197.419677734375,1197.419677734375,6142421
2021-01-22,1186.068565762793,1211.9886775993575,1185.666400773276,1198.4476318359375,1198.4476318359375,9646591
2021-01-25,1202.1568192221641,1204.7488520290608,1173.5553186904842,1184.3702392578125,1184.3702392578125,6542611
2021-01-27,1179.4546830932698,1186.560435813725,1148.6186817901855,1162.830078125,1162.830078125,8133665
2021-01-28,1154.6067697532462,1158.7628376599287,1137.4011810571374,1140.6634521484375,1140.6634521484375,4660690
2021-01-29,1149.6464037312007,1154.0260308999643,1100.2641189450792,1107.459228515625,1107.459228515625,12183519
2021-02-01,1117.7377493595554,1142.2276969686686,1109.2019453799985,1126.988525390625,1126.988525390625,8880279
2021-02-02,1144.0601032448378,1156.930801227557,1129.4018113507984,1136.2393798828125,1136.2393798828125,6892490
2021-02-03,1141.9597297532816,1165.5112582815439,1137.803551988041,1148.21630859375,1148.21630859375,8182968
2021-02-04,1148.5289780433732,1156.0368935731963,1136.9543522183574,1143.47900390625,1143.47900390625,5032240
2021-02-05,1149.780486291039,1151.8808874265274,1127.9718176002152,1136.9991455078125,1136.9991455078125,5477481
2021-02-08,1148.9761716380353,1170.874200580184,1140.03820064124,1165.1092529296875,1165.1092529296875,6921922
2021-02-09,1168.1033326563245,1190.5376157566488,1160.0144260840143,1166.896728515625,1166.896728515625,7965949
2021-02-10,1158.1822470431157,1165.8241462646606,1147.2778577011752,1158.807861328125,1158.807861328125,5951207
2021-02-11,1152.1044401145336,1158.361019696226,1146.7863911125305,1155.3668212890625,1155.3668212890625,4673317
2021-02-12,1166.4051650335016,1183.1638599334083,1163.3216088143536,1170.6954345703125,1170.6954345703125,5797875
2021-02-15,1179.8120565554689,1187.3199732820378,1168.2820532724606,1170.561279296875,1170.561279296875,4363513
2021-02-16,1174.4493010424694,1179.5886339808212,1149.4229841252784,1153.355712890625,1153.355712890625,6896421
2021-02-17,1153.3556990480015,1157.020245017106,1139.591203087532,1145.22216796875,1145.22216796875,4575741
2021-02-18,1140.4850700101533,1167.2989823144671,1139.591272933343,1155.18798828125,1155.18798828125,6437551
2021-02-19,1158.450316559227,1161.4892483028984,1141.200099227767,1154.16015625,1154.16015625,5389696
2021-02-22,1157.4668532583955,1169.577843512131,1126.183965332493,1130.8316650390625,1130.8316650390625,7371303
2021-02-23,1136.1500101959293,1153.8918577601044,1123.9943935465494,1131.8597412109375,1131.8597412109375,6612942
2021-02-24,1126.2289687493337,1141.0212438360754,1119.0338591594307,1138.965576171875,1138.965576171875,4537258
2021-02-25,1151.6126553665074,1161.7126047086547,1136.9097389416495,1139.18896484375,1139.18896484375,8788221
2021-02-26,1134.2282461517125,1138.9654132808241,1112.5536717079149,1120.1956787109375,1120.1956787109375,15132388
2021-03-01,1129.1337906499264,1148.0822433555982,1125.2904199180211,1132.4407958984375,1132.4407958984375,5756286
2021-03-02,1146.0710276102554,1170.8738905591222,1143.3449035356125,1165.9580078125,1165.9580078125,10461434
2021-03-03,1179.097038281638,1203.9446401999135,1169.086554848914,1200.861083984375,1200.861083984375,9056399
2021-03-04,1193.2190442537121,1219.0050669468922,1185.085513039192,1189.0628662109375,1189.0628662109375,12041941
2021-03-05,1187.4092746462538,1197.6879398012647,1166.449779342162,1176.8624267578125,1176.8624267578125,6486176
2021-03-08,1184.1023702847697,1203.1401819025514,1177.3094254497194,1193.889404296875,1193.889404296875,5119392
2021-03-09,1188.302953910033,1207.0279549343354,1178.6946374342656,1202.6484375,1202.6484375,6518173
2021-03-10,1212.7934145442896,1228.077324490749,1211.0951780822163,1222.8486328125,1222.8486328125,7925984
2021-03-12,1227.183167446093,1243.8971261570825,1224.5465101825002,1228.836669921875,1228.836669921875,9462061
2021-03-15,1224.5019569375104,1233.3505695424365,1214.2232908756262,1227.7196044921875,1227.7196044921875,6658635
2021-03-16,1238.8473420914672,1256.6785481182826,1233.8867252327802,1237.0150146484375,1237.0150146484375,9352771
2021-03-17,1244.3887227449645,1251.3156486571738,1235.2273046030102,1239.6962890625,1239.6962890625,7626744
2021-03-18,1245.7294419110638,1245.7294419110638,1174.0022399642562,1195.0958251953125,1195.0958251953125,10961755
2021-03-19,1188.7499607308475,1211.273600554897,1178.0243971753812,1201.665283203125,1201.665283203125,12767112
2021-03-22,1206.715376598352,1229.8647420378688,1194.2022178857571,1225.217041015625,1225.217041015625,4862758
2021-03-23,1226.6915369729268,1236.3445873337382,1215.2062683931006,1225.88720703125,1225.88720703125,7165335
2021-03-24,1213.6420844879397,1224.9039034735133,1203.2740623917937,1209.9775390625,1209.9775390625,6134303
2021-03-25,1203.7209886477726,1208.860320880722,1186.604755998562,1192.1463623046875,1192.1463623046875,8749994
2021-03-26,1201.888532688068,1212.6140944609288,1190.5373567875463,1194.291259765625,1194.291259765625,4922071
2021-03-30,1203.8552947333465,1251.3158973026807,1194.246976236201,1238.1771240234375,1238.1771240234375,10546381
2021-03-31,1235.2274577485312,1240.5902397648056,1218.513497440241,1222.759033203125,1222.759033203125,8220987
2021-04-01,1233.4398237929254,1243.807846867361,1225.3956510290584,1238.0875244140625,1238.0875244140625,5675155
2021-04-05,1243.2715229334,1273.660618389716,1239.696335232657,1260.164306640625,1260.164306640625,9479572
2021-04-06,1271.8729678090117,1274.5543584649688,1257.0805857145554,1261.192138671875,1261.192138671875,5793571
2021-04-07,1260.4772645315486,1282.5540075822048,1257.2148835431346,1278.3084716796875,1278.3084716796875,5879234
2021-04-08,1278.1297150861817,1297.5250664209318,1270.0855420541707,1286.93359375,1286.93359375,5654434
2021-04-09,1300.47477349162,1300.47477349162,1278.1745796092343,1288.00634765625,1288.00634765625,6052712
2021-04-12,1317.456885527628,1320.6299087790342,1264.722858223605,1274.3311767578125,1274.3311767578125,20384532
2021-04-13,1280.8111567100052,1282.8222000474773,1228.970928455169,1248.7685546875,1248.7685546875,14855206
2021-04-15,1190.8057722319757,1221.2842277393672,1179.8120256235072,1216.2342529296875,1216.2342529296875,25342491
2021-04-16,1220.0327540685596,1225.2614440504974,1203.58686948188,1209.9775390625,1209.9775390625,10879878
2021-04-19,1197.6878537109355,1233.1715472269593,1190.8502855607005,1217.843017578125,1217.843017578125,12508028
2021-04-20,1232.5459031265664,1232.5459031265664,1199.8329589909758,1207.8323974609375,1207.8323974609375,8560766
2021-04-22,1211.586348113851,1219.8539688702679,1202.290839171911,1207.60888671875,1207.60888671875,6622446
2021-04-23,1200.3692502349795,1205.1957753706151,1189.6436873140415,1192.1463623046875,1192.1463623046875,7316262
2021-04-26,1190.7611335607535,1207.788011201561,1180.7059166325803,1200.861083984375,1200.861083984375,7088606
2021-04-27,1203.0507857761518,1209.307364899802,1197.8220950440318,1205.2852783203125,1205.2852783203125,3636115
