Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2021-01-01,1126.5863037109375,1131.1000218776505,1122.4302352457107,1124.3071869890505,4253550
2021-01-04,1151.43408203125,1152.9982269127208,1127.2122031165493,1134.228488335072,7208454
2021-01-05,1156.39453125,1161.0422317222406,1139.635838528836,1145.847683655052,8145280
2021-01-06,1145.93701171875,1163.723592285339,1133.3792304300039,1161.9359984415828,7161715
2021-01-07,1128.10595703125,1159.8357519842716,1122.1621848878476,1158.36096504552,10954918
2021-01-08,1172.7510986328125,1176.9520102714005,1142.4960900239034,1142.4960900239034,13186251
2021-01-11,1230.0433349609375,1236.4340050578492,1197.6879285921466,1199.564880390367,20528626
2021-01-12,1226.0660400390625,1231.6522713131606,1215.563925243758,1231.6522713131606,8309868
2021-01-13,1239.8304443359375,1244.8804188567215,1215.563835648649,1227.9429014184154,14442997
2021-01-14,1224.9488525390625,1237.015112669874,1178.4266726144992,1215.5639835484312,27521697
2021-01-15,1202.1123046875,1219.5413472485125,1197.6880529106004,1215.5639939988182,15018441
2021-01-18,1172.7064208984375,1197.6880039046125,1167.2989052980774,1195.9004098689338,8861765
2021-01-19,1176.8179931640625,1189.6439599417652,1172.6618147585243,1179.8121916777836,5585744
2021-01-20,1197.1962890625,1205.1958372822824,1180.3036138790897,1180.3036138790897,8225838
2021-01-21,1197.4197998046875,1216.502453080143,1193.2189975381832,1206.6259525667022,6142421
2021-01-22,1198.44775390625,1211.9888010489208,1185.6665215417304,1186.0686865722107,9646591
2021-01-25,1184.370361328125,1204.74897619975,1173.5554396461278,1202.1569431256983,6542611
2021-01-27,1162.8299560546875,1186.5603112522729,1148.6185612117415,1179.4545592777574,8133665
2021-01-28,1140.66357421875,1158.762961667182,1137.4013027783317,1154.6068933157298,4660690
2021-01-29,1107.459228515625,1154.0260308999643,1100.2641189450792,1149.6464037312007,12183519
2021-02-01,1126.988525390625,1142.2276969686686,1109.2019453799985,1117.7377493595554,8880279
